freq (Hz),ISL (dB)
590.817,33.4634
591.49,32.3472
592.163,31.9613
592.836,31.215
593.509,31.392
594.182,30.6611
594.855,30.8015
595.528,29.7429
596.201,29.4021
596.873,28.8115
597.546,29.5517
598.219,29.689
598.892,29.5592
599.565,29.046
600.238,28.7165
600.911,29.4825
601.584,29.2311
602.257,30.4405
602.93,29.7126
603.603,28.4
604.276,29.1752
604.948,29.1734
605.621,30.3574
606.294,29.1171
606.967,28.7745
607.64,29.2992
608.313,30.0678
608.986,28.8166
609.659,28.8248
610.332,28.8695
611.005,29.3713
611.678,29.76
612.35,29.8198
613.023,28.3244
613.696,29.578
614.369,30.3257
615.042,30.0147
615.715,29.8205
616.388,29.7021
617.061,29.7469
617.734,30.7627
618.407,30.9707
619.08,30.596
619.753,30.47
620.425,30.5292
621.098,31.3165
621.771,31.7448
622.444,31.2087
623.117,31.2727
623.79,32.3029
624.463,32.0629
625.136,31.85
625.809,31.0867
626.482,31.0975
627.155,30.3161
627.827,28.8506
628.5,28.0609
629.173,28.5151
629.846,28.8549
630.519,28.8105
631.192,27.8931
631.865,27.7192
632.538,27.6291
633.211,27.437
633.884,28.4664
634.557,28.8879
635.229,28.6245
635.902,29.6058
636.575,28.9533
637.248,29.0037
637.921,28.4608
638.594,27.9465
639.267,29.1618
639.94,28.2317
640.613,27.6687
641.286,29.0076
641.959,29.0514
642.632,28.3483
643.304,28.0455
643.977,27.5594
644.65,27.6153
645.323,28.5915
645.996,28.9532
646.669,29.2017
647.342,28.95
648.015,27.8146
648.688,28.2869
649.361,28.2893
650.034,27.5006
650.706,27.0602
651.379,27.4623
652.052,26.7354
652.725,27.3049
653.398,27.7601
654.071,27.7969
654.744,27.8056
655.417,26.8487
656.09,27.3772
656.763,27.3537
657.436,27.1734
658.109,28.2493
658.781,30.1721
659.454,30.1005
660.127,31.7651
660.8,33.3218
661.473,33.6803
662.146,33.4291
662.819,32.5078
663.492,31.1043
664.165,30.2742
664.838,28.5989
665.511,27.9226
666.183,28.4257
666.856,28.0601
667.529,27.8966
668.202,28.1253
668.875,28.1573
669.548,26.8892
670.221,26.8842
670.894,27.2424
671.567,27.718
672.24,26.9331
672.913,28.2133
673.586,27.8833
674.258,27.9856
674.931,28.1564
675.604,28.128
676.277,28.1449
676.95,27.8041
677.623,26.9441
678.296,27.3821
678.969,27.7741
679.642,27.8004
680.315,28.358
680.988,28.8773
681.66,28.5711
682.333,28.0962
683.006,28.3995
683.679,27.833
684.352,27.8788
685.025,27.4111
685.698,27.1166
686.371,26.9286
687.044,27.4359
687.717,27.1787
688.39,26.3941
689.062,26.801
689.735,26.5888
690.408,27.5402
691.081,26.7197
691.754,26.8959
692.427,26.3153
693.1,26.5367
693.773,25.7658
694.446,26.4289
695.119,26.8698
695.792,27.8281
696.465,27.0026
697.137,27.5527
697.81,29.4869
698.483,31.0844
699.156,33.1072
699.829,33.1751
700.502,32.3514
701.175,30.7154
701.848,30.4938
702.521,29.1927
703.194,28.1481
703.867,28.5753
704.539,28.3864
705.212,28.8451
705.885,29.318
706.558,28.5802
707.231,28.9034
707.904,27.9339
708.577,28.4172
709.25,28.697
709.923,28.011
710.596,29.8433
711.269,28.4808
711.942,28.7033
712.614,27.8903
713.287,28.7788
713.96,28.7937
714.633,28.7413
715.306,29.364
715.979,27.7167
716.652,28.3144
717.325,28.2396
717.998,28.6987
718.671,27.582
719.344,27.6781
720.016,27.3543
720.689,27.7809
721.362,28.7295
722.035,28.1405
722.708,28.4247
723.381,28.2174
724.054,27.3138
724.727,27.22
725.4,26.4595
726.073,27.6002
726.746,27.1383
727.419,27.2023
728.091,27.2147
728.764,27.4798
729.437,28.0555
730.11,28.914
730.783,27.7839
731.456,27.8397
732.129,28.3491
732.802,27.9974
733.475,28.0779
734.148,27.5688
734.821,27.6082
735.493,27.6137
736.166,27.5263
736.839,27.8881
737.512,28.3271
738.185,27.708
738.858,28.2122
739.531,27.9817
740.204,29.1676
740.877,29.8969
741.55,30.9022
742.223,33.9216
742.896,34.1289
743.568,30.6311
744.241,28.1458
744.914,28.074
745.587,28.4523
746.26,27.2889
746.933,26.9794
747.606,27.6136
748.279,27.1505
748.952,27.0956
749.625,27.0358
750.298,26.9836
750.97,26.3141
751.643,25.7359
752.316,26.2077
752.989,26.4746
753.662,26.3942
754.335,25.6627
755.008,26.0185
755.681,26.7456
756.354,27.2047
757.027,27.1767
757.7,27.3123
758.372,27.1002
759.045,27.3188
759.718,27.3995
760.391,27.2125
761.064,27.0528
761.737,27.5222
762.41,26.7282
763.083,26.958
763.756,27.3748
764.429,27.1215
765.102,27.0992
765.775,26.9526
766.447,26.4013
767.12,27.2535
767.793,27.0066
768.466,26.4551
769.139,26.7523
769.812,26.8978
770.485,27.1945
771.158,27.4161
771.831,26.7199
772.504,27.6098
773.177,27.4894
773.849,27.4587
774.522,27.0124
775.195,27.2833
775.868,27.1289
776.541,28.0557
777.214,28.1359
777.887,27.705
778.56,27.9324
779.233,27.1239
779.906,27.4449
780.579,27.7666
781.252,27.5313
781.924,26.9052
782.597,27.7794
783.27,27.9205
783.943,29.059
784.616,29.454
785.289,29.8204
785.962,31.6064
786.635,33.6772
787.308,34.3161
787.981,33.171
788.654,31.7921
789.326,30.2922
789.999,30.2222
790.672,28.6836
791.345,27.5839
792.018,25.7982
792.691,26.1101
793.364,26.2141
794.037,25.9081
794.71,25.1008
795.383,25.5219
796.056,25.3849
796.729,26.2724
797.401,25.8483
798.074,25.5787
798.747,25.9278
799.42,26.3433
800.093,26.536
800.766,26.8133
801.439,26.7778
802.112,27.127
802.785,26.8664
803.458,26.4682
804.131,26.9891
804.803,26.2305
805.476,25.6588
806.149,25.9893
806.822,25.9734
807.495,26.3057
808.168,26.9056
808.841,27.3737
809.514,27.2369
810.187,26.6627
810.86,26.6452
811.533,27.5511
812.206,28.5142
812.878,27.9218
813.551,28.0558
814.224,27.8989
814.897,28.6518
815.57,28.918
816.243,28.776
816.916,28.9727
817.589,29.1004
